url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/puma-x-rose-speedcat-lea-womens-sneakers/404390?swatch=01,Puma,PUMA x ROSÉ Speedcat Lea Women's Sneakers,," ? 9,999.00 "
https://in.puma.com/in/en/pd/pwr-hybrid-multi-surface-grip-training-shoes/310282?swatch=17,Puma,PWR Hybrid Multi-Surface Grip Training Shoes," ? 5,999.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/exoteric-womens-running-shoes/311131?swatch=02,Puma,Exoteric Women's Running Shoes," ? 4,499.00 "," ? 4,999.00 "
https://in.puma.com/in/en/pd/blktop-rider-vibrant-womens-sneakers/397321?swatch=05,Puma,Blktop Rider Vibrant Women's Sneakers," ? 8,099.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/puma-x-rose-speedcat-womens-sneakers/404391?swatch=01,Puma,PUMA x ROSÉ Speedcat Women's Sneakers,," ? 9,999.00 "
https://in.puma.com/in/en/pd/arizona-leo-sneakers/403045?swatch=01,Puma,Arizona Leo Sneakers," ? 8,099.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/speedcat-og-sneakers/398846?swatch=04,Puma,Speedcat OG Sneakers,," ? 9,999.00 "
https://in.puma.com/in/en/pd/speedcat-faded-sneakers/403688?swatch=04,Puma,Speedcat Faded Sneakers," ? 7,499.00 "," ? 9,999.00 "
https://in.puma.com/in/en/pd/royalcat-softride-lumina-womens-flip-flops/399420?swatch=05,Puma,Royalcat Softride Lumina Women's Flip-Flops,," ? 2,299.00 "
https://in.puma.com/in/en/pd/ultra-5-match-tt-football-boots/107892?swatch=01,Puma,ULTRA 5 MATCH TT Football Boots," ? 7,199.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/puma-hoops-x-lafrance-amour-sneakers/310439?swatch=03,Puma,PUMA HOOPS x LAFRANCÉ Amour Sneakers," ? 8,999.00 "," ? 11,999.00 "
https://in.puma.com/in/en/pd/scend-progressive-womens-running-shoes/312108?swatch=01,Puma,Scend Progressive Women's Running Shoes," ? 4,499.00 "," ? 5,999.00 "
https://in.puma.com/in/en/pd/speedcat-lux-suede-sneakers/408198?swatch=01,Puma,Speedcat Lux Suede Sneakers,," ? 9,999.00 "
https://in.puma.com/in/en/pd/future-rider-play-on-sneakers/393473?swatch=26,Puma,Future Rider Play On Sneakers," ? 4,679.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/the-dagger-basketball-shoes/311353?swatch=15,Puma,The Dagger Basketball Shoes," ? 6,749.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/x-cell-nova-cat-womens-everyday-running-shoes/310686?swatch=08,Puma,X-Cell Nova CAT Women's Everyday Running Shoes," ? 5,599.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/mostro-unlined-suede-sneakers/403174?swatch=01,Puma,Mostro Unlined Suede Sneakers," ? 8,249.00 "," ? 10,999.00 "
https://in.puma.com/in/en/pd/24-fh-rubber-cricket-shoes/107699?swatch=02,Puma,24 FH Rubber Cricket Shoes," ? 5,249.00 "," ? 6,999.00 "
